address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Morton St,Pittsburgh,PA,15234,NA,1126.0,2.0,1.5,47,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128626157_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Marge Dr,Pittsburgh,PA,15234,NA,936.0,3.0,1.5,130,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128579081_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1001 Columbia Ave,Pittsburgh,PA,15234,116000,850.0,3.0,1.5,68,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1001-Columbia-Ave-Pittsburgh-PA-15234/11357909_zpid/
Home Ave,Pittsburgh,PA,15234,NA,1144.0,3.0,1.0,130,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128579072_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Andrea Dr,Pittsburgh,PA,15234,NA,925.0,2.0,1.0,49,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128805538_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
830 Lindenwood Dr,Pittsburgh,PA,15234,189900,NA,3.0,2.0,60,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/830-Lindenwood-Dr-Pittsburgh-PA-15234/11357715_zpid/
Newport Dr,Pittsburgh,PA,15234,692000,1296.0,3.0,1.5,49,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126704847_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Valley Dr,Pittsburgh,PA,15234,139000,1000.0,3.0,2.0,435,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125442705_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2307 Groveland St,PITTSBURGH,PA,15234,87000,1120.0,3.0,1.5,71,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2307-Groveland-St-Pittsburgh-PA-15234/11650631_zpid/
Sycamore Dr,Pittsburgh,PA,15234,118000,1026.0,3.0,1.5,567,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124400492_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Highview Rd,Pittsburgh,PA,15234,NA,1113.0,3.0,1.0,190,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127101558_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
May St,Pittsburgh,PA,15234,NA,1259.0,3.0,1.0,227,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126912360_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Parklyn St,Pittsburgh,PA,15234,111000,1344.0,2.0,1.5,165,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/121614558_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Briggs St,Pittsburgh,PA,15234,NA,1144.0,3.0,1.0,319,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126330048_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
446 Hoodridge Dr APT 103,Pittsburgh,PA,15234,64900,NA,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/446-Hoodridge-Dr-APT-103-Pittsburgh-PA-15234/11359174_zpid/
2892 May Street Ext,Castle Shannon,PA,15234,238500,NA,3.0,3.0,85,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2892-May-Street-Ext-Castle-Shannon-PA-15234/2095489148_zpid/
Middleboro Rd,Pittsburgh,PA,15234,124000,1195.0,2.0,1.5,319,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124467975_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
312 Kingsberry Cir,Pittsburgh,PA,15234,279900,NA,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/312-Kingsberry-Cir-Pittsburgh-PA-15234/11431576_zpid/
1417 Orr Dr,Pittsburgh,PA,15234,179900,1163.0,3.0,3.0,38,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1417-Orr-Dr-Pittsburgh-PA-15234/11395967_zpid/
1030 Hastie Rd,Pittsburgh,PA,15234,153900,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1030-Hastie-Rd-Pittsburgh-PA-15234/11396339_zpid/
707 Riehl Dr,Pittsburgh,PA,15234,180000,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/707-Riehl-Dr-Pittsburgh-PA-15234/11306875_zpid/
Maplewood Dr,Pittsburgh,PA,15234,NA,1232.0,3.0,1.0,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128623544_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Willow Ave,Pittsburgh,PA,15234,NA,938.0,2.0,1.0,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128623580_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Kerry Hill Dr,Pittsburgh,PA,15234,NA,856.0,2.0,1.0,165,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127211435_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3254 Broadway Ave,Pittsburgh,PA,15234,215000,18900.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3254-Broadway-Ave-Pittsburgh-PA-15234/11357059_zpid/
Mary Pl,Pittsburgh,PA,15234,NA,875.0,3.0,1.0,291,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126704870_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2895 May Street Ext,Castle Shannon,PA,15234,259500,NA,3.0,3.0,370,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2895-May-Street-Ext-Castle-Shannon-PA-15234/2098908317_zpid/
1417 Magnolia Dr,Pittsburgh,PA,15234,165000,NA,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1417-Magnolia-Dr-Pittsburgh-PA-15234/11393337_zpid/
Hillview St,Pittsburgh,PA,15234,106000,1183.0,2.0,1.0,347,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126080983_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
0 Library Rd,Overbrook,PA,15234,349237,NA,NA,NA,104,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Library-Rd-Overbrook-PA-15234/2096054759_zpid/
116 Sunridge Dr,Pittsburgh,PA,15234,265000,NA,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/116-Sunridge-Dr-Pittsburgh-PA-15234/11431292_zpid/
732 Vermont Ave,Pittsburgh,PA,15234,228900,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/732-Vermont-Ave-Pittsburgh-PA-15234/11396671_zpid/
213 Thornberry Cir,Pittsburgh,PA,15234,299900,NA,3.0,3.0,32,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/213-Thornberry-Cir-Pittsburgh-PA-15234/11431517_zpid/
2823 Fernland St,Pittsburgh,PA,15234,104900,NA,3.0,2.0,221,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2823-Fernland-St-Pittsburgh-PA-15234/11307239_zpid/
4 Cool Springs Dr,Bethel Park,PA,15234,349900,NA,3.0,3.0,131,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Cool-Springs-Dr-Bethel-Park-PA-15234/2096008137_zpid/
145 Sunridge Dr,Pittsburgh,PA,15234,295000,NA,4.0,3.0,46,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/145-Sunridge-Dr-Pittsburgh-PA-15234/11431702_zpid/
811 Vermont Ave,Pittsburgh,PA,15234,273000,NA,3.0,3.0,46,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/811-Vermont-Ave-Pittsburgh-PA-15234/11397059_zpid/
141 Groveland St,Pittsburgh,PA,15234,124900,NA,2.0,1.0,202,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/141-Groveland-St-Pittsburgh-PA-15234/11305547_zpid/
2719 Library Rd,Pittsburgh,PA,15234,349237,NA,0,NA,38,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2719-Library-Rd-Pittsburgh-PA-15234/2094924373_zpid/
43 Havelock LOT 42,Castle Shannon,PA,15234,7500,6534.0,NA,NA,530,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/43-Havelock-LOT-42-Castle-Shannon-PA-15234/2100589383_zpid/
0 Broadway Ave,Castle Shannon,PA,15234,39900,NA,NA,NA,260,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Broadway-Ave-Castle-Shannon-PA-15234/2097566053_zpid/
6823 Alcoma Dr,Pittsburgh,PA,15235,21000,NA,3.0,1.0,1,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/6823-Alcoma-Dr-Pittsburgh-PA-15235/11568347_zpid/
58 Pine Valley Dr,Pittsburgh,PA,15235,104900,1300.0,3.0,1.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/58-Pine-Valley-Dr-Pittsburgh-PA-15235/11568168_zpid/
201 Cypress Hill Dr,Pittsburgh,PA,15235,119900,NA,3.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Cypress-Hill-Dr-Pittsburgh-PA-15235/11568485_zpid/
Cypress Hill Dr,Pittsburgh,PA,15235,NA,1468.0,3.0,2.5,74,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126912624_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
132 Cypress Hill Dr,Pittsburgh,PA,15235,174900,NA,4.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/132-Cypress-Hill-Dr-Pittsburgh-PA-15235/11568648_zpid/
177 Crescent Hills Rd,Pittsburgh,PA,15235,129900,NA,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/177-Crescent-Hills-Rd-Pittsburgh-PA-15235/11491894_zpid/
1702 Yorktown Pl,Pittsburgh,PA,15235,175000,1910.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1702-Yorktown-Pl-Pittsburgh-PA-15235/11417301_zpid/
7 Sylvan Ln,Wilkins Twp,PA,15235,82900,NA,2.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Sylvan-Ln-Wilkins-Twp-PA-15235/2094496026_zpid/
12105 Joan Dr,Pittsburgh,PA,15235,67000,NA,3.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12105-Joan-Dr-Pittsburgh-PA-15235/11493281_zpid/
198 Mckenzie Dr,Pittsburgh,PA,15235,89999,NA,3.0,2.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/198-Mckenzie-Dr-Pittsburgh-PA-15235/11534194_zpid/
520 Springdale Dr,Pittsburgh,PA,15235,109900,NA,4.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-Springdale-Dr-Pittsburgh-PA-15235/11492053_zpid/
301 Earlwood Rd,Pittsburgh,PA,15235,144900,1130.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/301-Earlwood-Rd-Pittsburgh-PA-15235/11491498_zpid/
2360 Hollywood Dr,Pittsburgh,PA,15235,123600,NA,3.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2360-Hollywood-Dr-Pittsburgh-PA-15235/11417224_zpid/
11827 Joan Dr,Pittsburgh,PA,15235,99500,1232.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11827-Joan-Dr-Pittsburgh-PA-15235/11493111_zpid/
124 Frazier Dr,Pittsburgh,PA,15235,123900,983.0,2.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/124-Frazier-Dr-Pittsburgh-PA-15235/11534924_zpid/
166 Crescent Gardens Dr,Pittsburgh,PA,15235,172900,1890.0,5.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/166-Crescent-Gardens-Dr-Pittsburgh-PA-15235/11532380_zpid/
Crescent Gardens Dr,Pittsburgh,PA,15235,195000,1854.0,3.0,1.5,291,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126704921_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2318 Forest Dr,Pittsburgh,PA,15235,174900,NA,4.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2318-Forest-Dr-Pittsburgh-PA-15235/11418029_zpid/
8536 Pershing St,Pittsburgh,PA,15235,67500,NA,2.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8536-Pershing-St-Pittsburgh-PA-15235/11377293_zpid/
